รหัสวิชา,ชื่อรายวิชา,Credit,หน่วยกิต,หมวดวิชา,คำอธิบายรายวิชาภาษาไทย,คำอธิบายรายวิชาภาษาอังกฤษ,
GE-010-001,ภาษาอังกฤษง่ายนิดเดียว (English is easy),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),คำศัพท์ วลีและโครงสร้างประโยคภาษาอังกฤษเพื่อการสื่อสารในชีวิตประจำวัน ทักษะการฟังและสนทนาประโยคภาษาอังกฤษในสถานการณ์ต่าง ๆ และอ่าน ข้อความหรือเนื้อหาสั้น ๆ ที่น่าสนใจ,"Vocabulary, phrases, and sentence structures of English for communicating in daily life; listening and conversational skills through common English sentences used in various situations; and reading short, interesting texts of varying text types   ",
GE-010-002,ภาษาอังกฤษฟุดฟิดฟอฟัน (English is fun),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),การสื่อสารและใช้ภาษาอังกฤษในบริบทต่าง ๆ คำศัพท์ ประโยค ไวยากรณ์และ สำนวนภาษาอังกฤษในสังคมพหุวัฒนธรรม การฟัง การเขียนและโต้ตอบในบริบท การท่องเที่ยว เดินทาง และเพื่อนต่างวัฒนธรรม,"Using English to communicate in various contexts; vocabulary, grammatical structures of English sentences and idioms commonly used in multicultural social settings; listening, writing, and interacting with other people from different cultures in a variety of travel-and- tourism situations   ",
GE-010-003,ดิจิทัลกับชีวิตวิถีใหม่ (Digital Technology of New Normal),3,3(2-2-5),ศึกษาทั่วไป (พื้นฐาน),เทคโนโลยีดิจิทัล คอมพิวเตอร์ ออนไลน์ Word processing Presentation Spreadsheet Excel การใช้งานโปรแกรมประยุกต์สำหรับสำนักงาน กฎหมาย เกี่ยวกับดิจิทัล,"Digital technology studies including online computer applications; word processing, presentation tools, and spreadsheet, office application skills, and cybercrime laws   ",
GE-010-004,คุณค่ามหาวิทยาลัยกาฬสินธุ์ (Value of Kalasin University),3,3(2-2-5),ศึกษาทั่วไป (พื้นฐาน),ความสำคัญของค่านิยมและวัฒนธรรมองค์กรในระดับหน่วยงาน สังคม และ ประเทศ ผลงานทางวิชาการของมหาวิทยาลัย จัดกิจกรรมทางวิชาการ การจัดการ ทรัพยากร และผู้ประกอบการเพื่อการพัฒนาท้องถิ่น,"The importance of value and cooperate culture of departments, social and nation, published academic works of Kalasin University, academic activities management, and community servicing   ",
GE-010-005,ชีวิตออกแบบได้ (Ideal Life),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),ปัจจัยและความสำคัญของแรงบันดาลใจในการใช้ชีวิต เทคนิคและวิธีคิดของผู้ ประสบความสำเร็จ เรียนรู้สถานการณ์ต่าง ๆ ด้วยตนเอง วิเคราะห์และวางแผน เป้าหมายชีวิต การสร้างความสัมพันธ์ระหว่างบุคคล การแสดงลักษณะท่าทาง การวางตัว การมีมนุษยสัมพันธ์,"Importance and factors of life inspiration, concepts and ideas of very successful people, self-learning through different real-life situations, analyzing and planning life goals, socializing, manners, and interpersonal skills   ",
GE-010-006,ปรัชญามนุษย์ สังคมและเศรษฐศาสตร์ (Human philosophy society and economics),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),สภาพแวดล้อมทางสังคม เศรษฐกิจ และการเมือง การปกครองทั้งภายในและ ภายนอกประเทศ หลักการบริหาร หลักกฎหมายเบื้องต้น วิเคราะห์ปัญหาด้าน จริยธรรมทางเศรษฐกิจระดับบุคคล ระดับองค์กร ระดับประเทศและระดับโลกที่ เกิดขึ้นในสังคมปัจจุบัน อุปสงค์ อุปทาน ทฤษฎีพฤติกรรมผู้บริโภค การบริโภค การออมและการลงทุน ปัญหาเงินเฟ้อ เงินฝืด การว่างงาน และปรัชญาเศรษฐกิจ พอเพียง,"Social, economic, and political environment; inside and outside Thailand; administrative principles; principle of basic law; economic ethics issues at the individual level, organizational level, national and global levels emerging in today's society; demand; supply; consumer behavior theory; consumption; savings and investment; inflation, deflation, and unemployment problems, sufficiency economy philosophy   ",
GE-020-003,ภาษาไทยเชิงสร้างสรรค์ (Practical Thai for communication),3,3(3-0-6),ศึกษาทั่วไป (เลือก),การพูดในที่สาธารณะ การพูดเพื่อสร้างแรงบันดาลใจ การนำเสนอเชิงวิชาการ การนำเสนอเพื่อสร้างความสนใจ การอ่านและการฟังเพื่อจับใจความ และการเขียน เพื่อนำเสนอตนเอง,"Public speaking, inspiration talks, practical academic presentations, comprehensive reading and listening, and autobiography writing   ",
GE-020-008,การพัฒนาธุรกิจในสังคมดิจิทัล (Entrepreneur Studies),3,3(3-0-6),ศึกษาทั่วไป (เลือก),หลักการเป็นผู้ประกอบการ การบริหารทรัพยากร เวลา การเงิน การบัญชีและ ระบบการขนส่งเบื้องต้น ดิจิทัลมาร์เก็ตติ้ง การสร้างเนื้อหาที่น่าสนใจเพื่อการตลาด การวางแผนการเงิน,"Entrepreneur studies, resources, time, and money management, accounting skills, basic logistic system, digital marketing, and effective marketing content creation, and money budgeting   ",
SC-061-103,แคลคูลัสสำหรับวิศวกรรม 1,3,3(3-0-6),วิชาแกน,พีชคณิตเวกเตอร์ในสามมิติ ฟังก์ชัน ลิมิตและความต่อเนื่อง อนุพันธ์ การประยุกต์ของอนุพันธ์และรูปแบบยังไม่กำหนด ปริพันธ์ไม่จำกัดเขต เทคนิคของการหาปริพันธ์ ปริพันธ์จำกัดเขตและการประยุกต์,,
SC-061-104,แคลคูลัสสำหรับวิศวกรรม 2,3,3(3-0-6),วิชาแกน,พิกัดเชิงขั้วและสมการอ้างอิงตัวแปรเสริม เส้นระนาบ และผิวในปริภูมิสามมิติ แคลคูลัสของฟังก์ชันค่าจริงของสองตัวแปรและการประยุกต์ การประยุกต์อนุพันธ์ย่อยและปริพันธ์สองชั้น แคลคูลัสของฟังก์ชันค่าจริงของหลายตัวแปรและการประยุกต์,,
